comment_id,video_id,author,text,like_count,published_at,reply_count,is_reply,cleaned_text
Ugwcf0rWmFiXWHUZ1Ah4AaABAg,j2qUj7a0ja8,@aifiesta.official,Join AI Fiesta here: https://aifiesta.link/1bs,386,2026-02-01T09:11:33Z,16,False,join ai fiesta here
Ugwcf0rWmFiXWHUZ1Ah4AaABAg.ASfwCKhfmLGASgAaqCOWnf,j2qUj7a0ja8,@Bakugo-Run,Ya bro,0,2026-02-01T11:26:06Z,0,True,ya bro
Ugwcf0rWmFiXWHUZ1Ah4AaABAg.ASfwCKhfmLGASgGM9rvhXm,j2qUj7a0ja8,@Sachiin_S1,Free or paid? 🤔,7,2026-02-01T12:16:24Z,0,True,free or paid?
Ugwcf0rWmFiXWHUZ1Ah4AaABAg.ASfwCKhfmLGASgHWx4kfcL,j2qUj7a0ja8,@MR.heanch01M,Ai fiesta name apke mind me kaha se???,5,2026-02-01T12:26:36Z,0,True,ai fiesta name apke mind me kaha se???
Ugwcf0rWmFiXWHUZ1Ah4AaABAg.ASfwCKhfmLGASgHu0sqt7Q,j2qUj7a0ja8,@Sachiin_S1,​@MR.heanch01M  aise toh tumhara Naam jo hai o kyu 😁,3,2026-02-01T12:29:54Z,0,True,aise toh tumhara naam jo hai o kyu
UgyfNd03-808Ud5rCSl4AaABAg,j2qUj7a0ja8,@prateek2705,Round neck tshirt is permanent,3191,2026-01-31T02:22:37Z,41,False,round neck tshirt is permanent
UgyfNd03-808Ud5rCSl4AaABAg.ASccbG1Hu4PAScvDEScDLa,j2qUj7a0ja8,@Suryajaiswalupsc,Face book ke मालिक  se प्रभावित hua hai 😂😂😂,71,2026-01-31T05:05:13Z,0,True,face book ke se hua hai
UgyfNd03-808Ud5rCSl4AaABAg.ASccbG1Hu4PAScvGA9gui4,j2qUj7a0ja8,@BinuBuragohain-g1x,😂😂😂.... But isi liye day by day support Dhruv Rathee ✅❤️🇮🇳,66,2026-01-31T05:05:37Z,0,True,.... but isi liye day by day support dhruv rathee
UgyfNd03-808Ud5rCSl4AaABAg.ASccbG1Hu4PASdKsIHlM7T,j2qUj7a0ja8,@ONE518FC,I also love round t-shirts. I mean all 90s kids know.,9,2026-01-31T08:58:09Z,0,True,i also love round tshirts. i mean all s kids know.
UgwJqJYgl_dQNsH3Ra54AaABAg,j2qUj7a0ja8,@AshishK-Verma,"Pahli baar pura English samajh aa raha hai, Howww.. 😮",950,2026-01-31T16:35:24Z,22,False,"pahli baar pura english samajh aa raha hai, ho"
UgwJqJYgl_dQNsH3Ra54AaABAg.ASe9CG7gs_3ASfqNtAKeoC,j2qUj7a0ja8,@bmixentertainment,Right brother ❤,5,2026-02-01T08:20:42Z,0,True,right brother
UgwJqJYgl_dQNsH3Ra54AaABAg.ASe9CG7gs_3ASfy3QZhtjd,j2qUj7a0ja8,@GritGlow-TV,Right 😅,15,2026-02-01T09:27:49Z,0,True,right
UgwJqJYgl_dQNsH3Ra54AaABAg.ASe9CG7gs_3ASgbX5B3Gbb,j2qUj7a0ja8,@KamranAli-xt9py,ku ka ap na video dekha ha jis main ya sab kuch bataya ha druv bahi na already in hindi video on channel 😂😂,4,2026-02-01T15:30:08Z,0,True,ku ka ap na video dekha ha jis main ya sab kuch bataya ha druv bahi na already in hindi video on channel
UgwJqJYgl_dQNsH3Ra54AaABAg.ASe9CG7gs_3ASgeVvw92tY,j2qUj7a0ja8,@RohitsFarmvisuals,"Hehe because he is speaking India accent. Slow, moderate.",88,2026-02-01T15:56:11Z,0,True,"hehe because he is speaking india accent. slow, moderate."
Ugw4bRaHnwSMzDDHxD54AaABAg,j2qUj7a0ja8,@ManishSingh-u3j7o,Pure Indian English,1797,2026-01-31T02:26:19Z,19,False,pure indian english
Ugw4bRaHnwSMzDDHxD54AaABAg.AScd1S08B76ASfkHSYFskb,j2qUj7a0ja8,@realsohan_forsure,Usi liye gaya hai vo India banke 😂,7,2026-02-01T07:27:24Z,0,True,usi liye gaya hai vo india banke
Ugw4bRaHnwSMzDDHxD54AaABAg.AScd1S08B76ASfwe4ms_Hr,j2qUj7a0ja8,@sudeshnadas8732,That's called being real.,90,2026-02-01T09:15:29Z,0,True,thats called being real.
Ugw4bRaHnwSMzDDHxD54AaABAg.AScd1S08B76ASg1p_whIv1,j2qUj7a0ja8,@EchosOfSoul7,It's indian accent 🐥,11,2026-02-01T10:09:29Z,0,True,its indian accent
Ugw4bRaHnwSMzDDHxD54AaABAg.AScd1S08B76ASg3Pk0M8qN,j2qUj7a0ja8,@GeetpremiXYZ,"Why would he increase commercialism, he is a person with positive thinking.❤❤",21,2026-02-01T10:23:17Z,0,True,"why would he increase commercialism, he is a person with positive thinking."
UgzmQ1hZuhHJIOhdleh4AaABAg,j2qUj7a0ja8,@kuldeepmanat139,Pura video dekhne baad mujhe pata chala mujhe English samaj me bhi aati hai 😂😂,194,2026-01-31T14:22:56Z,10,False,pura video dekhne baad mujhe pata chala mujhe english samaj me bhi aati hai
UgzmQ1hZuhHJIOhdleh4AaABAg.ASdv286k911ASgcQza4tha,j2qUj7a0ja8,@smarttalks.s,same bro 😅,5,2026-02-01T15:38:02Z,0,True,same bro
UgzmQ1hZuhHJIOhdleh4AaABAg.ASdv286k911ASgexetfAzk,j2qUj7a0ja8,@RohitsFarmvisuals,It happens many times to me that I'm watching a video and someone comes up and say it's english I can't understand. Then I  realise oh really it's english it's not my language 😂  in flow of watching and paying attention I forget that the person in video is switching between languages and I'm completely unaware of this because I have good enough understanding of english.,2,2026-02-01T16:00:06Z,0,True,it happens many times to me that im watching a video and someone comes up and say its english i cant understand. then i realise oh really its english its not my language in flow of watching and paying attention i forget that the person in video is switching between languages and im completely unaware of this because i have good enough understanding of english.
UgzmQ1hZuhHJIOhdleh4AaABAg.ASdv286k911ASiH9kYREWp,j2qUj7a0ja8,@MukeshKumar55mh,Mujhko bhi same laga 😅😅,4,2026-02-02T07:01:55Z,0,True,mujhko bhi same laga
