comment_id,video_id,author,text,like_count,published_at,reply_count,is_reply,cleaned_text,sentiment_score,sentiment
Ugwcf0rWmFiXWHUZ1Ah4AaABAg,j2qUj7a0ja8,@aifiesta.official,Join AI Fiesta here: https://aifiesta.link/1bs,386,2026-02-01T09:11:33Z,16,False,join ai fiesta here,0.6486,positive
Ugwcf0rWmFiXWHUZ1Ah4AaABAg.ASfwCKhfmLGASgAaqCOWnf,j2qUj7a0ja8,@Bakugo-Run,Ya bro,0,2026-02-01T11:26:06Z,0,True,ya bro,0.0,neutral
Ugwcf0rWmFiXWHUZ1Ah4AaABAg.ASfwCKhfmLGASgGM9rvhXm,j2qUj7a0ja8,@Sachiin_S1,Free or paid? 🤔,7,2026-02-01T12:16:24Z,0,True,free or paid?,0.5106,positive
Ugwcf0rWmFiXWHUZ1Ah4AaABAg.ASfwCKhfmLGASgHWx4kfcL,j2qUj7a0ja8,@MR.heanch01M,Ai fiesta name apke mind me kaha se???,5,2026-02-01T12:26:36Z,0,True,ai fiesta name apke mind me kaha se???,0.5632,positive
Ugwcf0rWmFiXWHUZ1Ah4AaABAg.ASfwCKhfmLGASgHu0sqt7Q,j2qUj7a0ja8,@Sachiin_S1,​@MR.heanch01M  aise toh tumhara Naam jo hai o kyu 😁,3,2026-02-01T12:29:54Z,0,True,aise toh tumhara naam jo hai o kyu,0.0,neutral
UgyfNd03-808Ud5rCSl4AaABAg,j2qUj7a0ja8,@prateek2705,Round neck tshirt is permanent,3191,2026-01-31T02:22:37Z,41,False,round neck tshirt is permanent,0.0,neutral
UgyfNd03-808Ud5rCSl4AaABAg.ASccbG1Hu4PAScvDEScDLa,j2qUj7a0ja8,@Suryajaiswalupsc,Face book ke मालिक  se प्रभावित hua hai 😂😂😂,71,2026-01-31T05:05:13Z,0,True,face book ke se hua hai,0.0,neutral
UgyfNd03-808Ud5rCSl4AaABAg.ASccbG1Hu4PAScvGA9gui4,j2qUj7a0ja8,@BinuBuragohain-g1x,😂😂😂.... But isi liye day by day support Dhruv Rathee ✅❤️🇮🇳,66,2026-01-31T05:05:37Z,0,True,.... but isi liye day by day support dhruv rathee,0.5499,positive
UgyfNd03-808Ud5rCSl4AaABAg.ASccbG1Hu4PASdKsIHlM7T,j2qUj7a0ja8,@ONE518FC,I also love round t-shirts. I mean all 90s kids know.,9,2026-01-31T08:58:09Z,0,True,i also love round tshirts. i mean all s kids know.,0.6369,positive
UgwJqJYgl_dQNsH3Ra54AaABAg,j2qUj7a0ja8,@AshishK-Verma,"Pahli baar pura English samajh aa raha hai, Howww.. 😮",950,2026-01-31T16:35:24Z,22,False,"pahli baar pura english samajh aa raha hai, ho",0.0,neutral
UgwJqJYgl_dQNsH3Ra54AaABAg.ASe9CG7gs_3ASfqNtAKeoC,j2qUj7a0ja8,@bmixentertainment,Right brother ❤,5,2026-02-01T08:20:42Z,0,True,right brother,0.0,neutral
UgwJqJYgl_dQNsH3Ra54AaABAg.ASe9CG7gs_3ASfy3QZhtjd,j2qUj7a0ja8,@GritGlow-TV,Right 😅,15,2026-02-01T09:27:49Z,0,True,right,0.0,neutral
UgwJqJYgl_dQNsH3Ra54AaABAg.ASe9CG7gs_3ASgbX5B3Gbb,j2qUj7a0ja8,@KamranAli-xt9py,ku ka ap na video dekha ha jis main ya sab kuch bataya ha druv bahi na already in hindi video on channel 😂😂,4,2026-02-01T15:30:08Z,0,True,ku ka ap na video dekha ha jis main ya sab kuch bataya ha druv bahi na already in hindi video on channel,0.5859,positive
UgwJqJYgl_dQNsH3Ra54AaABAg.ASe9CG7gs_3ASgeVvw92tY,j2qUj7a0ja8,@RohitsFarmvisuals,"Hehe because he is speaking India accent. Slow, moderate.",88,2026-02-01T15:56:11Z,0,True,"hehe because he is speaking india accent. slow, moderate.",0.0,neutral
Ugw4bRaHnwSMzDDHxD54AaABAg,j2qUj7a0ja8,@ManishSingh-u3j7o,Pure Indian English,1797,2026-01-31T02:26:19Z,19,False,pure indian english,0.0,neutral
Ugw4bRaHnwSMzDDHxD54AaABAg.AScd1S08B76ASfkHSYFskb,j2qUj7a0ja8,@realsohan_forsure,Usi liye gaya hai vo India banke 😂,7,2026-02-01T07:27:24Z,0,True,usi liye gaya hai vo india banke,0.0,neutral
Ugw4bRaHnwSMzDDHxD54AaABAg.AScd1S08B76ASfwe4ms_Hr,j2qUj7a0ja8,@sudeshnadas8732,That's called being real.,90,2026-02-01T09:15:29Z,0,True,thats called being real.,0.0,neutral
Ugw4bRaHnwSMzDDHxD54AaABAg.AScd1S08B76ASg1p_whIv1,j2qUj7a0ja8,@EchosOfSoul7,It's indian accent 🐥,11,2026-02-01T10:09:29Z,0,True,its indian accent,0.0,neutral
Ugw4bRaHnwSMzDDHxD54AaABAg.AScd1S08B76ASg3Pk0M8qN,j2qUj7a0ja8,@GeetpremiXYZ,"Why would he increase commercialism, he is a person with positive thinking.❤❤",21,2026-02-01T10:23:17Z,0,True,"why would he increase commercialism, he is a person with positive thinking.",0.7096,positive
UgzmQ1hZuhHJIOhdleh4AaABAg,j2qUj7a0ja8,@kuldeepmanat139,Pura video dekhne baad mujhe pata chala mujhe English samaj me bhi aati hai 😂😂,194,2026-01-31T14:22:56Z,10,False,pura video dekhne baad mujhe pata chala mujhe english samaj me bhi aati hai,0.0,neutral
UgzmQ1hZuhHJIOhdleh4AaABAg.ASdv286k911ASgcQza4tha,j2qUj7a0ja8,@smarttalks.s,same bro 😅,5,2026-02-01T15:38:02Z,0,True,same bro,0.0,neutral
UgzmQ1hZuhHJIOhdleh4AaABAg.ASdv286k911ASgexetfAzk,j2qUj7a0ja8,@RohitsFarmvisuals,It happens many times to me that I'm watching a video and someone comes up and say it's english I can't understand. Then I  realise oh really it's english it's not my language 😂  in flow of watching and paying attention I forget that the person in video is switching between languages and I'm completely unaware of this because I have good enough understanding of english.,2,2026-02-01T16:00:06Z,0,True,it happens many times to me that im watching a video and someone comes up and say its english i cant understand. then i realise oh really its english its not my language in flow of watching and paying attention i forget that the person in video is switching between languages and im completely unaware of this because i have good enough understanding of english.,-0.024,neutral
UgzmQ1hZuhHJIOhdleh4AaABAg.ASdv286k911ASiH9kYREWp,j2qUj7a0ja8,@MukeshKumar55mh,Mujhko bhi same laga 😅😅,4,2026-02-02T07:01:55Z,0,True,mujhko bhi same laga,0.0,neutral
Ugyu7z_Zve0KfHcTWP94AaABAg,j2qUj7a0ja8,@plained-yt,First time I heard him speaking English 😂😂😂,2839,2026-01-30T19:28:38Z,70,False,first time i heard him speaking english,0.0,neutral
Ugyu7z_Zve0KfHcTWP94AaABAg.ASbtEFFUeEIAScXkynk9Ob,j2qUj7a0ja8,@PsychoNazofficial,Same here,12,2026-01-31T01:31:30Z,0,True,same here,0.0,neutral
Ugyu7z_Zve0KfHcTWP94AaABAg.ASbtEFFUeEIAScZ2KNsoiK,j2qUj7a0ja8,@batiarrahman1853,Still Namaskar dosto continue 😊,247,2026-01-31T01:42:45Z,0,True,still namaskar dosto continue,0.0,neutral
Ugyu7z_Zve0KfHcTWP94AaABAg.ASbtEFFUeEIASca9Wyyrhr,j2qUj7a0ja8,@BhaizXBagnX-y4j,Bhai tu uska vlog dekh...woh apni wife se english mai hi baat karte hai 😅😅,171,2026-01-31T02:01:13Z,0,True,bhai tu uska vlog dekh...woh apni wife se english mai hi baat karte hai,0.0,neutral
Ugyu7z_Zve0KfHcTWP94AaABAg.ASbtEFFUeEIAScaVGpKf7e,j2qUj7a0ja8,@PsychoNazofficial,@BhaizXBagnX-y4jha vai dekha hu but. Speech dete huye first dekha😊,30,2026-01-31T02:04:11Z,0,True,yjha vai dekha hu but. speech dete huye first dekha,0.0,neutral
Ugwq9v5fhYWC-vONuHh4AaABAg,j2qUj7a0ja8,@jamuna1995,Dhruv sir kabhi B boring nahi kiya hai 😊😊😊,292,2026-01-31T04:39:32Z,1,False,dhruv sir kabhi b boring nahi kiya hai,-0.3182,negative
Ugwq9v5fhYWC-vONuHh4AaABAg.AScsHAemPZCAT4bfLBUUVe,j2qUj7a0ja8,@hazrat_dhurv_rathee_waslam,Your new profet dhurv rathee 😂😂,0,2026-02-11T08:32:24Z,0,True,your new profet dhurv rathee,0.0,neutral
UgyBwRBYjjnJxmWi6-54AaABAg,j2qUj7a0ja8,@AnkitSharma-sm1kx,Ye banda bhut pada likha or baat krne k bhi tarika h ❤,652,2026-02-01T01:48:59Z,15,False,ye banda bhut pada likha or baat krne k bhi tarika h,0.0,neutral
UgyBwRBYjjnJxmWi6-54AaABAg.ASf8YrIaoOMASiEi5O2UA_,j2qUj7a0ja8,@chubazi98,"HM NE PARHE LIKAY JAHIL DEKHE HE. Ye parha likha hi nhi, balke scientific thinking, Critical thinking aur logic se kam leta he islye ye kamyab he. Hamare ha to Slavery ko b justify krte he Parhay likhay log",18,2026-02-02T06:40:32Z,0,True,"hm ne parhe likay jahil dekhe he. ye parha likha hi nhi, balke scientific thinking, critical thinking aur logic se kam leta he islye ye kamyab he. hamare ha to slavery ko b justify krte he parhay likhay log",-0.6908,negative
UgyBwRBYjjnJxmWi6-54AaABAg.ASf8YrIaoOMASiaN1H6TVQ,j2qUj7a0ja8,@ITS_MITSYAAKOMI_GIRL,"You're Completely Wrong He Is Not Educated it is a Sci-Co Mindset I have Seen Many Peoples In This Country but that one is a Masterpiece dude have just created His Whole New World....Not By Dreams By Teamworks...
By Innovative thinking not with the help of believers Or Top Content Creators dude has just created his Own AI Tools Based App Includes All of them In Just One App...❤❤❤
Bro Worked Smartly i swear he will be in The Top Rankings...",11,2026-02-02T09:58:30Z,0,True,youre completely wrong he is not educated it is a scico mindset i have seen many peoples in this country but that one is a masterpiece dude have just created his whole new world....not by dreams by teamworks... by innovative thinking not with the help of believers or top content creators dude has just created his own ai tools based app includes all of them in just one app... bro worked smartly i swear he will be in the top rankings...,0.9653,positive
UgyBwRBYjjnJxmWi6-54AaABAg.ASf8YrIaoOMASimVjGPbkm,j2qUj7a0ja8,@Zainakhanishere888,Bat.to.sai hai,1,2026-02-02T11:44:33Z,0,True,bat.to.sai hai,0.0,neutral
UgyBwRBYjjnJxmWi6-54AaABAg.ASf8YrIaoOMASm0iIJnY3a,j2qUj7a0ja8,@FawnTheCreator,Lekin jab sach bolne ki baat aati hain toh aadhi heen bolta hain,1,2026-02-03T17:55:11Z,0,True,lekin jab sach bolne ki baat aati hain toh aadhi heen bolta hain,0.0,neutral
Ugz2VNs8NwrgIuCcco14AaABAg,j2qUj7a0ja8,@ayanhashmiayanhashmi9192,Bhau ki english so simple 😮😮,156,2026-01-31T05:20:56Z,0,False,bhau ki english so simple,0.0,neutral
UgweIU3Ym5t-q0ia4lB4AaABAg,j2qUj7a0ja8,@pravinchoudhary9665,"Dhruv Rathee’s speech at the 1 Billion Summit in Dubai was incredibly inspiring and thought-provoking.His clarity of thought, passion for positive change, and commitment to impactful ideas truly resonated. A powerful message delivered with conviction  one that motivates us all to think deeper and act with purpose. Well done 😊",39,2026-01-31T10:01:14Z,0,False,"dhruv rathees speech at the billion summit in dubai was incredibly inspiring and thoughtprovoking.his clarity of thought, passion for positive change, and commitment to impactful ideas truly resonated. a powerful message delivered with conviction one that motivates us all to think deeper and act with purpose. well done",0.9674,positive
UgxuLKhkZhw7DdNEtOZ4AaABAg,j2qUj7a0ja8,@SunilRajpootOfficial,"ध्रुव राठी जी को इतनी बड़ी स्पीच देते हुए, मैंने पहली बार देखा है, वो भी अंग्रेजी में, हमारे देश के नौजवान ध्रुव राठी जी!",782,2026-01-31T03:43:55Z,7,False,", , , !",0.0,neutral
UgxuLKhkZhw7DdNEtOZ4AaABAg.AScluof_tsXASd4a8BlyP-,j2qUj7a0ja8,@sayyedsahil4184,DhruRati absolutely right aways 🎉🎉❤,15,2026-01-31T06:35:52Z,0,True,dhrurati absolutely right aways,0.0,neutral
UgxuLKhkZhw7DdNEtOZ4AaABAg.AScluof_tsXASe-dotaxfQ,j2qUj7a0ja8,@Xd-Deepan,Bhai enghindi pe bolo mujhe pure hindi nahi aata 😢,3,2026-01-31T15:11:55Z,0,True,bhai enghindi pe bolo mujhe pure hindi nahi aata,0.0,neutral
UgxuLKhkZhw7DdNEtOZ4AaABAg.AScluof_tsXASgKsrO2-cT,j2qUj7a0ja8,@mellowmood9,"Chill, not a Tedx",3,2026-02-01T12:55:57Z,0,True,"chill, not a tedx",0.0,neutral
UgxuLKhkZhw7DdNEtOZ4AaABAg.AScluof_tsXASgOAshIWb7,j2qUj7a0ja8,@PapraZMunsyariOfficial11,To Tu mdr14 Youvaa nhi hai,0,2026-02-01T13:24:46Z,0,True,to tu mdr youvaa nhi hai,0.0,neutral
UgzHDRqhYdbeSHehO5B4AaABAg,j2qUj7a0ja8,@nicecodes,"Honestly, who hasn’t heard of Dhruv Rathee? He’s one of the most recognized voices on YouTube right now.",19,2026-01-31T14:11:08Z,0,False,"honestly, who hasnt heard of dhruv rathee? hes one of the most recognized voices on youtube right now.",0.4588,positive
UgzhzWWsVzw-FCcUjhN4AaABAg,j2qUj7a0ja8,@Akash.v5,0:46 indian youtuber ❤,135,2026-01-31T11:25:30Z,1,False,indian youtuber,0.0,neutral
UgxUJAx_ZapeysjUdcl4AaABAg,j2qUj7a0ja8,@Sachiin_S1,Bahoot dino de dhruv bhai ko kaun kaun sun rha 😊🫠,507,2026-01-30T15:43:07Z,15,False,bahoot dino de dhruv bhai ko kaun kaun sun rha,0.0,neutral
UgxUJAx_ZapeysjUdcl4AaABAg.ASbUQYpF2E1ASbnE-mwY6D,j2qUj7a0ja8,@Shahrikgamerz,Dino se nahi bhai main 2019 se sun raha hu dhruv bhai ko.,7,2026-01-30T18:36:11Z,0,True,dino se nahi bhai main se sun raha hu dhruv bhai ko.,0.0,neutral
UgxUJAx_ZapeysjUdcl4AaABAg.ASbUQYpF2E1ASbqT2qHJSc,j2qUj7a0ja8,@user-vc7kn6lv8b,​@Shahrikgamerzaur me 2017 Sai ☠️,2,2026-01-30T19:04:27Z,0,True,me sai,0.0,neutral
UgxUJAx_ZapeysjUdcl4AaABAg.ASbUQYpF2E1ASbv-L83ZoX,j2qUj7a0ja8,@AnujSharma-t4x,I'm watching him around 2019-2020. At that time I got smartphone too.,0,2026-01-30T19:44:05Z,0,True,im watching him around . at that time i got smartphone too.,0.0,neutral
UgxUJAx_ZapeysjUdcl4AaABAg.ASbUQYpF2E1AScFI9ZMWQd,j2qUj7a0ja8,@TryAI-p3f,Kuch mil gya kya,2,2026-01-30T22:50:09Z,0,True,kuch mil gya kya,0.0,neutral
UgxUJAx_ZapeysjUdcl4AaABAg.ASbUQYpF2E1AScQZY0ru4v,j2qUj7a0ja8,@thecarX_toonz,​@TryAI-p3fbahat kuch...,0,2026-01-31T00:28:38Z,0,True,kuch...,0.0,neutral
